relType,sourceLabelCombo,targetLabelCombo,propSet,count
officer_of,Officer,Other,link:sourceID:start_date:valid_until,1717
officer_of,Intermediary,Entity,end_date:link:sourceID:start_date:status:valid_until,1429
intermediary_of,Intermediary,Entity,end_date:link:start_date,1334
registered_address,Intermediary:Officer,Address,link:sourceID:valid_until,1193
underlying,Officer,Officer,link:sourceID:valid_until,1187
officer_of,Officer,Entity,link:sourceID:status:valid_until,1143
connected_to,Officer,Entity,link:sourceID:valid_until,1099
same_as,Address,Address,link,960
registered_address,Other,Address,link:sourceID:valid_until,888
registered_address,Entity,Entity,link:sourceID:valid_until,622
same_name_as,Entity,Officer,link:sourceID:valid_until,595
same_name_as,Entity,Other,link:sourceID:valid_until,552
officer_of,Officer,Entity,end_date:link:sourceID:status:valid_until,533
same_name_as,Intermediary,Officer,lastEditTimestamp:link,420
officer_of,Officer,Entity,end_date:link:sourceID:valid_until,340
officer_of,Officer,Entity,lastEditTimestamp:start_date,300
similar,Officer,Intermediary,link,300
connected_to,Intermediary,Entity,link:sourceID:valid_until,224
same_name_as,Other,Entity,link:sourceID:valid_until,219
officer_of,Intermediary:Officer,Entity,end_date:link:sourceID:start_date:valid_until,216
similar_company_as,Entity,Entity,link:sourceID:valid_until,203
same_name_as,Officer,Entity,link:sourceID:valid_until,185
officer_of,Officer,Entity,end_date:lastEditTimestamp:link:start_date,166
same_as,Intermediary,Officer,link,166
registered_address,Intermediary,Address,link,146
probably_same_officer_as,Officer,Officer,link:sourceID:valid_until,132
officer_of,Intermediary,Entity,link:sourceID:status:valid_until,120
same_name_as,Officer,Entity,lastEditTimestamp:link,92
same_name_as,Intermediary,Officer,link:sourceID:valid_until,74
underlying,Other,Entity,lastEditTimestamp:link,70
underlying,Officer,Intermediary:Officer,link:sourceID:valid_until,46
similar,Intermediary,Officer,link,43
same_name_as,Intermediary,Entity,lastEditTimestamp:link,40
same_name_as,Entity,Officer,lastEditTimestamp:link,36
officer_of,Officer,Entity,end_date:lastEditTimestamp:start_date,35
registered_address,Officer,Address,sourceID:valid_until,24
same_name_as,Intermediary,Intermediary,link:sourceID:valid_until,22
same_name_as,Other,Officer,link:sourceID:valid_until,22
registered_address,Entity,Address,sourceID:valid_until,18
similar,Intermediary,Intermediary,link,16
officer_of,Officer,Entity,,12
officer_of,Intermediary,Entity,end_date:link:sourceID:status:valid_until,10
officer_of,Officer,Entity,end_date:lastEditTimestamp:link,9
similar,Intermediary:Officer,Officer,link,8
same_name_as,Intermediary,Entity,link:sourceID:valid_until,7
same_name_as,Other,Other,lastEditTimestamp:link,6
officer_of,Officer,Officer,link:sourceID:valid_until,5
same_address_as,Address,Address,link:sourceID:valid_until,5
underlying,Intermediary:Officer,Officer,link:sourceID:valid_until,5
same_intermediary_as,Intermediary,Intermediary,link:sourceID:valid_until,4
same_name_as,Officer,Intermediary:Officer,link:sourceID:valid_until,4
similar,Intermediary:Officer,Intermediary,link,4
officer_of,Entity,Entity,link:sourceID:valid_until,3
officer_of,Intermediary,Entity,end_date:link:sourceID:start_date:valid_until,3
officer_of,Intermediary,Entity,end_date:link:sourceID:valid_until,3
officer_of,Officer,Entity,end_date:link,2
same_name_as,Intermediary,Intermediary,lastEditTimestamp:link,2
same_name_as,Other,Other,link:sourceID:valid_until,2
similar,Officer,Intermediary:Officer,link,2
intermediary_of,Intermediary,Entity,lastEditTimestamp:link,1
officer_of,Intermediary:Officer,Entity,end_date:link:sourceID:valid_until,1
officer_of,Officer,Intermediary,link:sourceID:valid_until,1
officer_of,Officer,Officer,link:sourceID:start_date:valid_until,1
officer_of,Officer,Other,end_date:link:sourceID:start_date:valid_until,1
same_name_as,Entity,Entity,link,1
same_name_as,Officer,Intermediary,lastEditTimestamp:link,1
similar,Intermediary:Officer,Intermediary:Officer,link,1
